14351;377537
14457;377940
14898;378309
15430;378509
15965;378828
16471;378981
16836;379210
17271;379389
17636;379594
18021;379726
18336;379837
18627;379996
19030;379890
19289;379716
19598;379660
20038;380054
20496;380185
21169;380310
21747;380461
22347;380589
22976;380834
23461;381156
23848;381289
24139;381449
24570;381509
24835;381597
26978;381281
26948;381019
26894;380806
27132;380728
27352;380914
27539;380790
27873;380734
28134;380679
28556;380358
28929;379968
29419;379479
30032;379130
30555;379022
31029;378867
31715;378540
32280;378169
32777;377942
33609;377755
34226;377574
35016;377603
35755;377490
36324;377309
36771;376942
37237;376430
37870;375890
38577;375444
39358;375045
40144;374908
41028;374840
41358;374618
41547;374495
41422;374258
41296;373952
41265;373690
41619;373443
42046;373266
42331;373189
42324;373952
42360;374500
43104;374603
43749;374542
44028;374201
44812;373945
45003;373917
44994;373464
45056;373009
45168;372672
45374;372238
45858;371369
46202;370668
46353;369902
46464;369445
46640;368773
46681;368437
46944;368360
46833;368816
46722;369225
46610;369586
46549;370064
46792;370274
46417;370640
46215;371241
46060;371865
45953;372441
45765;372612
45634;373212
45901;373373
45836;373661
46316;373746
46334;373459
46760;373235
47521;373052
48453;372961
49005;373045
49324;373443
49722;374104
50419;374304
50975;374579
51581;374973
51901;375419
52648;375690
53775;375859
54907;376241
55528;376181
55660;376823
56191;378315
56093;379390
55958;379797
56377;380505
57216;380631
58073;380448
58927;380145
59617;380013
60166;379932
59992;379553
60296;379214
60556;379067
60618;378541
61056;377651
61612;376687
62178;376270
62390;376100
63892;375858
64919;375768
65182;375763
65837;374941
66823;373874
67316;373316
67597;372977
67702;373524
67372;373769
67091;374108
66788;374614
66389;375027
66086;375509
66450;375812
67050;375898
67526;375818
67836;375741
68346;374802
68981;374147
69693;373825
70220;373888
69462;374282
68710;375106
68668;375465
68701;375965
69089;376268
69741;376638
70363;376676
70598;376409
70397;375864
70508;375338
71005;375044
71154;375328
70755;375835
71120;376187
71079;376568
71037;376975
72163;377099
72706;376709
73193;375724
73845;374687
74528;373984
75776;372653
76578;371924
76756;371062
76789;370130
77043;369458
77010;368885
75682;366660
76014;366441
77216;368261
78311;367814
79190;367347
79856;367027
80161;366616
79986;366069
79689;365452
79180;365054
78889;364819
78784;364223
78963;363384
79940;362939
80654;362666
81391;362176
82127;361712
82865;361366
84351;361225
85548;361113
85508;361688
84167;361850
83233;361935
82307;362546
81455;363324
79617;363852
80796;365819
81187;366315
80605;367470
79800;368102
78851;368691
78305;369009
77896;372095
77413;373343
77797;373385
77898;373765
76233;374387
75583;375686
75403;376332
75420;377453
75147;378315
74823;379011
73993;379406
73208;379657
72804;379759
72500;380146
72093;380152
71251;379785
70628;379651
70097;379351
69521;379217
69113;379129
68354;379428
66974;379786
66425;379819
64903;380250
63628;381108
62373;381749
61795;382737
61758;383381
60903;383635
60766;383971
60551;383927
59676;384396
59783;385013
59490;385923
59299;385927
59358;385236
59248;384476
58963;384576
58756;384985
57817;385813
57282;386537
56976;386757
55963;386181
55269;386124
53989;385340
53446;385660
53412;385137
53120;384881
53391;384113
53408;383756
52962;382955
52733;382268
52258;381206
51903;380212
51456;379411
50976;379302
50289;379602
49597;379664
49187;379458
48818;378941
48714;378585
45748;378506
45226;378684
44903;379215
44057;379901
42908;380856
42847;381358
42132;381445
41661;381765
40820;381522
40032;381563
39514;381909
39067;383230
38690;383500
38180;384132
37576;384884
36685;385571
36162;385702
36609;386406
36902;386709
37364;387055
38354;387557
38733;387429
38930;387709
39231;388321
39120;388681
38537;388219
38005;388968
37766;388927
38222;388035
37905;387733
37468;387434
37080;387158
36461;387219
36220;387130
35957;387112
35573;387003
34995;386802
34772;386474
34595;386049
33919;385732
33430;385220
32398;385054
31753;385046
31347;385008
30973;385375
30755;386189
30540;386171
30689;385453
30658;385144
30277;385177
29652;385050
29196;384942
28913;385068
27572;385888
26332;386919
25473;387845
24395;389564
23526;390966
21750;392392
20059;394268
19454;394807
19592;396396
22042;398043
23156;398749
23239;405561
11821;406394
11413;396218
9661;382510
9505;377888
